Data;Ora;μg/m3
01/05/2016;05.07.52;0,00
01/05/2016;05.08.52;0,00
01/05/2016;05.09.52;0,00
01/05/2016;05.10.52;0,00
01/05/2016;05.11.52;0,00
01/05/2016;05.12.52;0,00
01/05/2016;05.13.52;0,00
01/05/2016;05.14.52;0,00
01/05/2016;05.15.52;0,00
01/05/2016;05.16.52;0,00
01/05/2016;05.17.52;0,00
01/05/2016;05.18.52;0,00
01/05/2016;05.19.52;0,00
01/05/2016;05.20.52;0,00
01/05/2016;05.21.52;0,00
01/05/2016;05.22.52;0,00
01/05/2016;05.23.52;0,00
01/05/2016;05.24.52;0,00
01/05/2016;05.25.52;0,00
01/05/2016;05.26.52;0,00
01/05/2016;05.27.52;0,00
01/05/2016;05.28.52;0,00
01/05/2016;05.29.52;0,00
01/05/2016;05.30.52;0,00
01/05/2016;05.31.52;0,00
01/05/2016;05.32.52;0,00
01/05/2016;05.33.52;0,00
01/05/2016;05.34.52;0,00
01/05/2016;05.35.52;0,00
01/05/2016;05.36.52;0,00
01/05/2016;05.37.52;0,00
01/05/2016;05.38.52;0,00
01/05/2016;05.39.52;0,00
01/05/2016;05.40.52;0,00
01/05/2016;05.41.52;0,00
01/05/2016;05.42.52;0,00
01/05/2016;05.43.52;0,00
01/05/2016;05.44.52;0,00
01/05/2016;05.45.52;0,00
01/05/2016;05.46.52;0,00
01/05/2016;05.47.52;0,00
01/05/2016;05.48.52;0,00
01/05/2016;05.49.52;0,00
01/05/2016;05.50.52;0,00
01/05/2016;05.51.52;0,00
01/05/2016;05.52.52;0,00
01/05/2016;05.53.52;0,00
01/05/2016;05.54.52;0,00
01/05/2016;05.55.52;0,00
01/05/2016;05.56.52;0,00
01/05/2016;05.57.52;0,00
01/05/2016;05.58.52;0,00
01/05/2016;05.59.52;0,00
01/05/2016;06.00.52;0,00
01/05/2016;06.01.52;0,00
01/05/2016;06.02.52;0,00
01/05/2016;06.03.52;0,00
01/05/2016;06.04.52;0,00
01/05/2016;06.05.52;0,00
01/05/2016;06.06.52;0,00
01/05/2016;06.07.52;0,00
01/05/2016;06.08.52;0,00
01/05/2016;06.09.52;0,00
01/05/2016;06.10.52;0,00
01/05/2016;06.11.52;0,00
01/05/2016;06.12.52;0,00
01/05/2016;06.13.52;0,00
01/05/2016;06.14.52;0,00
01/05/2016;06.15.52;0,00
01/05/2016;06.16.52;0,00
01/05/2016;06.17.52;0,00
01/05/2016;06.18.52;0,00
01/05/2016;06.19.52;0,00
01/05/2016;06.20.52;0,00
01/05/2016;06.21.52;0,00
01/05/2016;06.22.52;0,00
01/05/2016;06.23.52;0,00
01/05/2016;06.24.52;0,00
01/05/2016;06.25.52;0,00
01/05/2016;06.26.52;0,00
01/05/2016;06.27.52;0,00
01/05/2016;06.28.52;0,00
01/05/2016;06.29.52;0,00
01/05/2016;06.30.52;0,00
01/05/2016;06.31.52;0,00
01/05/2016;06.32.52;0,00
01/05/2016;06.33.52;0,00
01/05/2016;06.34.52;0,00
01/05/2016;06.35.52;0,00
01/05/2016;06.36.52;0,00
01/05/2016;06.37.52;0,00
01/05/2016;06.38.52;0,00
01/05/2016;06.39.52;0,00
01/05/2016;06.40.52;0,00
01/05/2016;06.41.52;0,00
01/05/2016;06.42.52;0,00
01/05/2016;06.43.52;0,00
01/05/2016;06.44.52;0,00
01/05/2016;06.45.52;0,00
01/05/2016;06.46.52;0,00
01/05/2016;06.47.52;0,00
01/05/2016;06.48.52;0,00
01/05/2016;06.49.52;0,00
01/05/2016;06.50.52;0,00
01/05/2016;06.51.52;0,00
01/05/2016;06.52.52;0,00
01/05/2016;06.53.52;0,00
01/05/2016;06.54.52;0,00
01/05/2016;06.55.52;0,00
01/05/2016;06.56.52;0,00
01/05/2016;06.57.52;0,00
01/05/2016;06.58.52;0,00
01/05/2016;06.59.52;0,00
01/05/2016;07.00.52;0,00
01/05/2016;07.01.52;0,00
01/05/2016;07.02.52;0,00
01/05/2016;07.03.52;0,00
01/05/2016;07.04.52;0,00
01/05/2016;07.05.52;0,00
01/05/2016;07.06.52;0,00
01/05/2016;07.07.52;0,00
01/05/2016;07.08.52;0,00
01/05/2016;07.09.52;0,00
01/05/2016;07.10.52;0,00
01/05/2016;07.11.52;0,00
01/05/2016;07.12.52;0,00
01/05/2016;07.13.52;0,00
01/05/2016;07.14.52;0,00
01/05/2016;07.15.52;0,00
01/05/2016;07.16.52;0,00
01/05/2016;07.17.52;0,00
01/05/2016;07.18.52;0,00
01/05/2016;07.19.52;0,00
01/05/2016;07.20.52;0,00
01/05/2016;07.21.52;0,00
01/05/2016;07.22.52;0,00
01/05/2016;07.23.52;0,00
01/05/2016;07.24.52;0,00
01/05/2016;07.25.52;0,00
01/05/2016;07.26.52;0,00
01/05/2016;07.27.52;0,00
01/05/2016;07.28.52;0,00
01/05/2016;07.29.52;0,00
01/05/2016;07.30.52;0,00
01/05/2016;07.31.52;0,00
01/05/2016;07.32.52;0,00
01/05/2016;07.33.52;0,00
01/05/2016;07.34.52;0,00
01/05/2016;07.35.52;0,00
01/05/2016;07.36.52;0,00
01/05/2016;07.37.52;0,00
01/05/2016;07.38.52;0,00
01/05/2016;07.39.52;0,00
01/05/2016;07.40.52;0,00
01/05/2016;07.41.52;0,00
01/05/2016;07.42.52;0,00
01/05/2016;07.43.52;0,00
01/05/2016;07.44.52;0,00
01/05/2016;07.45.52;0,00
01/05/2016;07.46.52;0,00
01/05/2016;07.47.52;0,00
01/05/2016;07.48.52;0,00
01/05/2016;07.49.52;0,00
01/05/2016;07.50.52;0,00
01/05/2016;07.51.52;0,00
01/05/2016;07.52.52;0,00
01/05/2016;07.53.52;0,00
01/05/2016;07.54.52;0,00
01/05/2016;07.55.52;0,00
01/05/2016;07.56.52;0,00
01/05/2016;07.57.52;0,00
01/05/2016;07.58.52;0,00
01/05/2016;07.59.52;0,00
01/05/2016;08.00.52;0,00
01/05/2016;08.01.52;0,00
01/05/2016;08.02.52;0,00
01/05/2016;08.03.52;0,00
01/05/2016;08.04.52;0,00
01/05/2016;08.05.52;0,00
01/05/2016;08.06.52;0,00
01/05/2016;08.07.52;0,00
01/05/2016;08.08.52;0,00
01/05/2016;08.09.52;0,00
01/05/2016;08.10.52;0,00
01/05/2016;08.11.52;0,00
01/05/2016;08.12.52;0,00
01/05/2016;08.13.52;0,00
01/05/2016;08.14.52;0,00
01/05/2016;08.15.52;0,00
01/05/2016;08.16.52;0,00
01/05/2016;08.17.52;0,00
01/05/2016;08.18.52;0,00
01/05/2016;08.19.52;0,00
01/05/2016;08.20.52;0,00
01/05/2016;08.21.52;0,00
01/05/2016;08.22.52;0,00
01/05/2016;08.23.52;0,00
01/05/2016;08.24.52;0,00
01/05/2016;08.25.52;0,00
01/05/2016;08.26.52;0,00
01/05/2016;08.27.52;0,00
01/05/2016;08.28.52;0,00
01/05/2016;08.29.52;0,00
01/05/2016;08.30.52;0,00
01/05/2016;08.31.52;0,00
01/05/2016;08.32.52;0,00
01/05/2016;08.33.52;0,00
01/05/2016;08.34.52;0,00
01/05/2016;08.35.52;0,00
01/05/2016;08.36.52;0,00
01/05/2016;08.37.52;0,00
01/05/2016;08.38.52;0,00
01/05/2016;08.39.52;0,00
01/05/2016;08.40.52;0,00
01/05/2016;08.41.52;0,00
01/05/2016;08.42.52;0,00
01/05/2016;08.43.52;0,00
01/05/2016;08.44.52;0,00
01/05/2016;08.45.52;0,00
01/05/2016;08.46.52;0,00
01/05/2016;08.47.52;0,00
01/05/2016;08.48.52;0,00
01/05/2016;08.49.52;0,00
01/05/2016;08.50.52;0,00
01/05/2016;08.51.52;0,00
01/05/2016;08.52.52;0,00
01/05/2016;08.53.52;0,00
01/05/2016;08.54.52;0,00
01/05/2016;08.55.52;0,00
01/05/2016;08.56.52;0,00
01/05/2016;08.57.52;0,00
01/05/2016;08.58.52;0,00
01/05/2016;08.59.52;0,00
01/05/2016;09.00.52;0,00
01/05/2016;09.01.52;0,00
01/05/2016;09.02.52;0,00
01/05/2016;09.03.52;0,00
01/05/2016;09.04.52;0,00
01/05/2016;09.05.52;0,00
01/05/2016;09.06.52;0,00
01/05/2016;09.07.52;0,00
01/05/2016;09.08.52;0,00
01/05/2016;09.09.52;0,00
01/05/2016;09.10.52;0,00
01/05/2016;09.11.52;0,00
01/05/2016;09.12.52;0,00
01/05/2016;09.13.52;0,00
01/05/2016;09.14.52;0,00
01/05/2016;09.15.52;0,00
01/05/2016;09.16.52;0,00
01/05/2016;09.17.52;0,00
01/05/2016;09.18.52;0,00
01/05/2016;09.19.52;0,00
01/05/2016;09.20.52;0,00
01/05/2016;09.21.52;0,00
01/05/2016;09.22.52;0,00
01/05/2016;09.23.52;0,00
01/05/2016;09.24.52;0,00
01/05/2016;09.25.52;0,00
01/05/2016;09.26.52;0,00
01/05/2016;09.27.52;0,00
01/05/2016;09.28.52;0,00
01/05/2016;09.29.52;0,00
01/05/2016;09.30.52;0,00
01/05/2016;09.31.52;0,00
01/05/2016;09.32.52;0,00
01/05/2016;09.33.52;0,00
01/05/2016;09.34.52;0,00
01/05/2016;09.35.52;0,00
01/05/2016;09.36.52;0,00
01/05/2016;09.37.52;0,00
01/05/2016;09.38.52;0,00
01/05/2016;09.39.52;0,00
01/05/2016;09.40.52;0,00
01/05/2016;09.41.52;0,00
01/05/2016;09.42.52;0,00
01/05/2016;09.43.52;0,00
01/05/2016;09.44.52;0,00
01/05/2016;09.45.52;0,00
01/05/2016;09.46.52;0,00
01/05/2016;09.47.52;0,00
01/05/2016;09.48.52;0,00
01/05/2016;09.49.52;0,00
01/05/2016;09.50.52;0,00
01/05/2016;09.51.52;0,00
01/05/2016;09.52.52;0,00
01/05/2016;09.53.52;0,00
01/05/2016;09.54.52;0,00
01/05/2016;09.55.52;0,00
01/05/2016;09.56.52;0,00
01/05/2016;09.57.52;0,00
01/05/2016;09.58.52;0,00
01/05/2016;09.59.52;0,00
01/05/2016;10.00.52;0,00
01/05/2016;10.01.52;0,00
01/05/2016;10.02.52;0,00
01/05/2016;10.03.52;0,00
01/05/2016;10.04.52;0,00
01/05/2016;10.05.52;0,00
01/05/2016;10.06.52;0,00
01/05/2016;10.07.52;0,00
01/05/2016;10.08.52;0,00
01/05/2016;10.09.52;0,00
01/05/2016;10.10.52;0,00
01/05/2016;10.11.52;0,00
01/05/2016;10.12.52;0,00
01/05/2016;10.13.52;0,00
01/05/2016;10.14.52;0,00
01/05/2016;10.15.52;0,00
01/05/2016;10.16.52;0,00
01/05/2016;10.17.52;0,00
01/05/2016;10.18.52;0,00
01/05/2016;10.19.52;0,00
01/05/2016;10.20.52;0,00
01/05/2016;10.21.52;0,00
01/05/2016;10.22.52;0,00
01/05/2016;10.23.52;0,00
01/05/2016;10.24.52;0,00
01/05/2016;10.25.52;0,00
01/05/2016;10.26.52;0,00
01/05/2016;10.27.52;0,00
01/05/2016;10.28.52;0,00
01/05/2016;10.29.52;0,00
01/05/2016;10.30.52;0,00
01/05/2016;10.31.52;0,00
01/05/2016;10.32.52;0,00
01/05/2016;10.33.52;0,00
01/05/2016;10.34.52;0,00
01/05/2016;10.35.52;0,00
01/05/2016;10.36.52;0,00
01/05/2016;10.37.52;0,00
01/05/2016;10.38.52;0,00
01/05/2016;10.39.52;0,00
01/05/2016;10.40.52;0,00
01/05/2016;10.41.52;0,00
01/05/2016;10.42.52;0,00
01/05/2016;10.43.52;0,00
01/05/2016;10.44.52;0,00
01/05/2016;10.45.52;0,00
01/05/2016;10.46.52;0,00
01/05/2016;10.47.52;0,00
01/05/2016;10.48.52;0,00
01/05/2016;10.49.52;0,00
01/05/2016;10.50.52;0,00
01/05/2016;10.51.52;0,00
01/05/2016;10.52.52;0,00
01/05/2016;10.53.52;0,00
01/05/2016;10.54.52;0,00
01/05/2016;10.55.52;0,00
01/05/2016;10.56.52;0,00
01/05/2016;10.57.52;0,00
01/05/2016;10.58.52;0,00
01/05/2016;10.59.52;0,00
01/05/2016;11.00.52;0,00
01/05/2016;11.01.52;0,00
01/05/2016;11.02.52;0,00
01/05/2016;11.03.52;0,00
01/05/2016;11.04.52;0,00
01/05/2016;11.05.52;0,00
01/05/2016;11.06.52;0,00
01/05/2016;11.07.52;0,00
01/05/2016;11.08.52;0,00
01/05/2016;11.09.52;0,00
01/05/2016;11.10.52;0,00
01/05/2016;11.11.52;0,00
01/05/2016;11.12.52;0,00
01/05/2016;11.13.52;0,00
01/05/2016;11.14.52;0,00
01/05/2016;11.15.52;0,00
01/05/2016;11.16.52;0,00
01/05/2016;11.17.52;0,00
01/05/2016;11.18.52;0,00
01/05/2016;11.19.52;0,00
01/05/2016;11.20.52;0,00
01/05/2016;11.21.52;0,00
01/05/2016;11.22.52;0,00
01/05/2016;11.23.52;0,00
01/05/2016;11.24.52;0,00
01/05/2016;11.25.52;0,00
01/05/2016;11.26.52;0,00
01/05/2016;11.27.52;0,00
01/05/2016;11.28.52;0,00
01/05/2016;11.29.52;0,00
01/05/2016;11.30.52;0,00
01/05/2016;11.31.52;0,00
01/05/2016;11.32.52;0,00
01/05/2016;11.33.52;0,00
01/05/2016;11.34.52;0,00
01/05/2016;11.35.52;0,00
01/05/2016;11.36.52;0,00
01/05/2016;11.37.52;0,00
01/05/2016;11.38.52;0,00
01/05/2016;11.39.52;0,00
01/05/2016;11.40.52;0,00
01/05/2016;11.41.52;0,00
01/05/2016;11.42.52;0,00
01/05/2016;11.43.52;0,00
01/05/2016;11.44.52;0,00
01/05/2016;11.45.52;0,00
01/05/2016;11.46.52;0,00
01/05/2016;11.47.52;0,00
01/05/2016;11.48.52;0,00
01/05/2016;11.49.52;0,00
01/05/2016;11.50.52;0,00
01/05/2016;11.51.52;0,00
