Data;Ora;μg/m3
01/05/2016;06.31.52;0,90
01/05/2016;06.32.52;1,01
01/05/2016;06.33.52;1,05
01/05/2016;06.34.52;1,03
01/05/2016;06.35.52;0,91
01/05/2016;06.36.52;1,03
01/05/2016;06.37.52;0,96
01/05/2016;06.38.52;1,00
01/05/2016;06.39.53;1,00
01/05/2016;06.40.52;1,07
01/05/2016;06.41.52;1,03
01/05/2016;06.42.52;1,08
01/05/2016;06.43.52;1,06
01/05/2016;06.44.52;0,98
01/05/2016;06.45.53;0,98
01/05/2016;06.46.52;1,08
01/05/2016;06.47.52;1,05
01/05/2016;06.48.52;0,99
01/05/2016;06.49.52;0,94
01/05/2016;06.50.52;0,95
01/05/2016;06.51.52;0,92
01/05/2016;06.52.52;0,87
01/05/2016;06.53.52;0,91
01/05/2016;06.54.52;0,94
01/05/2016;06.55.52;0,95
01/05/2016;06.56.52;0,97
01/05/2016;06.57.52;0,99
01/05/2016;06.58.52;0,83
01/05/2016;06.59.52;0,94
01/05/2016;07.00.52;0,94
01/05/2016;07.01.53;0,96
01/05/2016;07.02.52;0,93
01/05/2016;07.03.52;0,75
01/05/2016;07.04.52;1,05
01/05/2016;07.05.52;1,05
01/05/2016;07.06.52;0,95
01/05/2016;07.07.52;1,00
01/05/2016;07.08.52;1,09
01/05/2016;07.09.52;1,03
01/05/2016;07.10.52;0,93
01/05/2016;07.11.52;0,96
01/05/2016;07.12.52;0,90
01/05/2016;07.13.52;1,01
01/05/2016;07.14.52;1,04
01/05/2016;07.15.52;0,94
01/05/2016;07.16.52;1,05
01/05/2016;07.17.52;1,03
01/05/2016;07.18.52;1,00
01/05/2016;07.19.52;0,97
01/05/2016;07.20.52;0,99
01/05/2016;07.21.52;1,01
01/05/2016;07.22.52;0,98
01/05/2016;07.23.52;1,07
01/05/2016;07.24.52;1,05
01/05/2016;07.25.52;0,90
01/05/2016;07.26.52;0,94
01/05/2016;07.27.52;0,94
01/05/2016;07.28.52;0,93
01/05/2016;07.29.52;1,05
01/05/2016;07.30.52;0,97
01/05/2016;07.31.52;1,03
01/05/2016;07.32.53;1,02
01/05/2016;07.33.53;0,91
01/05/2016;07.34.52;0,93
01/05/2016;07.35.53;0,98
01/05/2016;07.36.52;1,01
01/05/2016;07.37.52;0,97
01/05/2016;07.38.52;0,97
01/05/2016;07.39.52;0,89
01/05/2016;07.40.52;0,89
01/05/2016;07.41.52;0,97
01/05/2016;07.42.52;0,89
01/05/2016;07.43.53;0,94
01/05/2016;07.44.52;1,05
01/05/2016;07.45.52;1,00
01/05/2016;07.46.52;0,89
01/05/2016;07.47.52;0,95
01/05/2016;07.48.52;0,94
01/05/2016;07.49.52;1,04
01/05/2016;07.50.53;0,99
01/05/2016;07.51.52;1,00
01/05/2016;07.52.52;1,03
01/05/2016;07.53.52;1,00
01/05/2016;07.54.52;0,97
01/05/2016;07.55.52;1,05
01/05/2016;07.56.52;1,00
01/05/2016;07.57.52;1,01
01/05/2016;07.58.52;0,96
01/05/2016;07.59.52;1,01
01/05/2016;08.00.52;0,99
01/05/2016;08.01.52;1,04
01/05/2016;08.02.52;1,00
01/05/2016;08.03.52;1,00
01/05/2016;08.04.53;0,98
01/05/2016;08.05.52;1,06
01/05/2016;08.06.52;0,93
01/05/2016;08.07.52;1,06
01/05/2016;08.08.52;0,99
01/05/2016;08.09.52;0,92
01/05/2016;08.10.52;0,96
01/05/2016;08.11.52;0,98
01/05/2016;08.12.52;1,08
01/05/2016;08.13.52;0,95
01/05/2016;08.14.52;1,02
01/05/2016;08.15.52;1,08
01/05/2016;08.16.53;1,03
01/05/2016;08.17.53;1,01
01/05/2016;08.18.52;0,98
01/05/2016;08.19.52;1,07
01/05/2016;08.20.52;0,95
01/05/2016;08.21.52;0,97
01/05/2016;08.22.52;0,99
01/05/2016;08.23.52;1,06
01/05/2016;08.24.52;0,94
01/05/2016;08.25.52;0,98
01/05/2016;08.26.52;1,04
01/05/2016;08.27.52;1,21
01/05/2016;08.28.52;1,06
01/05/2016;08.29.52;1,04
01/05/2016;08.30.52;1,04
01/05/2016;08.31.52;0,96
01/05/2016;08.32.52;0,95
01/05/2016;08.33.52;1,05
01/05/2016;08.34.52;1,14
01/05/2016;08.35.52;1,00
01/05/2016;08.36.52;1,09
01/05/2016;08.37.52;0,94
01/05/2016;08.38.52;0,96
01/05/2016;08.39.52;1,01
